"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL242756";"";"0";"353.54";"0";"4.35";"3, ATPM";"Nc1nc2cc3c(cc2s1)C[C@@H]1[C@@H]2CCCC[C@]32CCN1CC1CC1";"Emax";"'='";"45.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1769435";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as [35S]GTPgammaS binding by scintillation counting relative to control";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765082";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3308072";""
"CHEMBL56585";"CYCLAZOCINE";"0";"271.40";"0";"3.33";"(-)2";"C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC1CC1";"Emax";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL749739";"Incorporation of [35S]GTP-gamma-S, into CHO membranes expressing human Opioid receptor mu 1";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145777";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL397035";"";"0";"416.57";"1";"5.77";"(-)2d";"O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3";"Emax";"'='";"39.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL887396";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTP-gamma-S binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144610";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL525046";"";"0";"1116.34";"None";"None";"CTAP";"C[C@@H](O)[C@H](NC(=O)[C@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H]2Cc3ccccc3CN2)CSSC1(C)C)C(N)=O";"Emax";"'='";"1.99";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1828466";"Agonist activity against mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]-GTPgammaS binding at 100 nM relative to DAMGO";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821548";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3308072";""
"CHEMBL2178340";"";"0";"448.52";"0";"1.54";"13";"O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccnnc1";"Emax";"'='";"27.64";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2184590";"Agonist activity at mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]-GTP-gammaS binding relative to DAMGO";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176919";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL1852672";"";"0";"481.98";"0";"2.80";"6";"O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1Cl";"Emax";"'='";"24.86";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2184590";"Agonist activity at mu opioid receptor expressed in CHO cells assessed as stimulation of [35S]-GTP-gammaS binding relative to DAMGO";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176919";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072";""
"CHEMBL346436";"";"0";"775.13";"2";"10.65";"16 MCL-179";"O=C(CCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3";"Emax";"'='";"57.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL749741";"Percent maximal stimulation in [35S]-GTP-gamma S binding assay mediated by the Opioid receptor mu 1 in chinese Hamster Ovary (CHO)membranes";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145905";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL38874";"DAMGO";"0";"513.60";"2";"-0.94";"DAMGO";"C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)NCCO";"Emax";"'='";"120.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL887396";"Agonist activity at human mu opioid receptor expressed in CHO cells assessed as maximal stimulation of [35S]GTP-gamma-S binding";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144610";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL459783";"";"0";"511.67";"1";"4.67";"(+/-)-6.3d";"COCCN(C(=O)Cc1cccc(OC)c1)C1c2ccccc2C=CC1N1CCN(c2ccccc2)CC1";"Emax";"'='";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1028120";"Intrinsic activity at human cloned mu opioid receptor at 100 uM by [35S]GTPgammaS binding assay relative to DAMGO";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152717";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL460631";"";"0";"508.09";"2";"5.45";"(+/-)-6.3f";"COCCN(C(=O)c1sccc1Cl)C1c2ccccc2C=CC1N1CCN(c2ccccc2)CC1";"Emax";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1028120";"Intrinsic activity at human cloned mu opioid receptor at 100 uM by [35S]GTPgammaS binding assay relative to DAMGO";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL233";"Mu opioid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152717";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
